Industry,Channel,CTR,CPC,ConvRate
Apparel & Accessories,Bing Search,3.33,0.91,2.88
Automotive,Bing Search,2.34,2.52,1.62
B2B Services,Bing Search,3.01,1.16,2.64
B2C Services,Bing Search,2.12,1.78,4.80
Careers & Employment,Bing Search,3.53,0.75,6.81
Consumer Electronics,Bing Search,2.88,1.22,3.01
Education,Bing Search,2.37,2.79,3.55
Finance & Insurance,Bing Search,3.51,1.82,5.57
Health & Wellness,Bing Search,2.90,1.70,2.55
Home & Garden,Bing Search,2.70,1.01,2.54
Home Improvement,Bing Search,2.92,2.54,2.78
Home Services,Bing Search,2.55,1.50,3.36
Legal Services,Bing Search,2.84,1.42,3.58
Real Estate,Bing Search,2.20,2.88,5.13
Restaurants & Food,Bing Search,2.60,1.69,4.42
Retail,Bing Search,3.06,1.24,2.65
Technology,Bing Search,2.40,1.95,2.04
Travel & Hospitality,Bing Search,2.83,1.17,1.58
Apparel,Facebook Ads,1.24,0.45,4.11
Auto,Facebook Ads,0.80,2.24,5.11
B2B,Facebook Ads,0.78,2.52,10.63
Beauty,Facebook Ads,1.16,1.81,7.10
Consumer Services,Facebook Ads,0.62,3.08,9.96
Education,Facebook Ads,0.73,1.06,13.58
Employment & Job Training,Facebook Ads,0.47,2.72,11.73
Finance & Insurance,Facebook Ads,0.56,3.77,9.09
Fitness,Facebook Ads,1.01,1.90,14.29
Home Improvement,Facebook Ads,0.70,2.93,6.56
Healthcare,Facebook Ads,0.83,1.32,11.00
Industrial Services,Facebook Ads,0.71,2.14,0.71
Legal,Facebook Ads,1.61,1.32,5.60
Real Estate,Facebook Ads,0.99,1.81,10.68
Retail,Facebook Ads,1.59,0.70,3.26
Technology,Facebook Ads,1.04,1.27,2.31
Travel & Hospitality,Facebook Ads,0.90,0.63,2.82
Advocacy,Google Search,4.41,1.43,1.96
Auto,Google Search,4.00,2.46,6.03
B2B,Google Search,2.41,3.33,3.04
Consumer Services,Google Search,2.41,6.40,6.64
Dating & Personals,Google Search,6.05,2.78,9.64
E-Commerce,Google Search,2.69,1.16,2.81
Education,Google Search,3.78,2.40,3.39
Employment Services,Google Search,2.42,2.04,5.13
Finance & Insurance,Google Search,2.91,3.44,5.10
Health & Medical,Google Search,3.27,2.62,3.36
Home Goods,Google Search,2.44,2.94,2.70
Industrial Services,Google Search,2.61,2.56,3.37
Legal,Google Search,2.93,6.75,6.98
Real Estate,Google Search,3.71,2.37,2.47
Technology,Google Search,2.09,3.80,2.92
Travel & Hospitality,Google Search,4.68,1.53,3.55
Advocacy,Google Display,0.59,0.62,1.00
Auto,Google Display,0.60,0.58,1.19
B2B,Google Display,0.46,0.79,0.80
Consumer Services,Google Display,0.51,0.81,0.98
Dating & Personals,Google Display,0.72,1.49,3.34
E-Commerce,Google Display,0.51,0.45,0.59
Education,Google Display,0.53,0.47,0.50
Employment Services,Google Display,0.59,0.78,1.57
Finance & Insurance,Google Display,0.52,0.86,1.19
Health & Medical,Google Display,0.59,0.63,0.82
Home Goods,Google Display,0.49,0.60,0.43
Industrial Services,Google Display,0.50,0.54,0.94
Legal,Google Display,0.59,0.72,1.84
Real Estate,Google Display,1.08,0.75,0.80
Technology,Google Display,0.39,0.51,0.86
Travel & Hospitality,Google Display,0.47,0.44,0.51
Medical Supplies,Google Shopping,0.87,0.63,2.94
Health & Beauty,Google Shopping,0.74,0.87,2.78
Child & Infant Care,Google Shopping,0.71,0.36,2.20
Pet Care,Google Shopping,0.68,0.82,1.07
Clothing & Apparel,Google Shopping,0.76,0.69,2.70
Food & Alcohol,Google Shopping,0.91,0.42,2.16
Home & Garden,Google Shopping,0.90,0.58,1.31
HVAC & Climate Control,Google Shopping,1.12,0.47,3.30
Automotive Supplies,Google Shopping,1.20,0.56,1.29
Travel & Luggage,Google Shopping,0.99,0.40,2.07
Entertainment & Events,Google Shopping,0.92,0.48,1.98
Educational Supplies,Google Shopping,0.94,0.83,1.88
Computers & Technology,Google Shopping,0.55,0.89,2.20
Office & Business Needs,Google Shopping,0.65,1.09,2.45
Art & Music,Google Shopping,0.76,0.34,1.77
Chemical & Industrial,Google Shopping,0.89,0.66,0.83
Medical Supplies,Bing Shopping,1.35,0.31,2.18
Health & Beauty,Bing Shopping,1.48,1.26,7.17
Child & Infant Care,Bing Shopping,2.02,0.11,2.11
Pet Care,Bing Shopping,1.63,0.25,1.57
Clothing & Apparel,Bing Shopping,1.05,0.83,0.67
Food & Alcohol,Bing Shopping,1.04,0.43,0.76
Home & Garden,Bing Shopping,1.40,0.52,1.91
HVAC & Climate Control,Bing Shopping,1.39,0.60,3.50
Automotive Supplies,Bing Shopping,1.29,0.23,1.35
Travel & Luggage,Bing Shopping,1.45,0.31,1.99
Entertainment & Events,Bing Shopping,1.40,0.30,2.16
Educational Supplies,Bing Shopping,0.84,0.80,1.48
Computers & Technology,Bing Shopping,1.21,0.43,4.48
Office & Business Needs,Bing Shopping,0.94,5.81,15.19
Art & Music,Bing Shopping,0.87,3.39,1.00
Chemical & Industrial,Bing Shopping,1.45,0.75,1.26